Date Label,Measure Names,Measure Values
2015-2 (Feb),Monthly Conversion/Monthly Payer Conversion,0.020521899
2015-3 (Mar),Monthly Conversion/Monthly Payer Conversion,0.034397188
2015-4 (Apr),Monthly Conversion/Monthly Payer Conversion,0.015886314
2015-5 (May),Monthly Conversion/Monthly Payer Conversion,0.014141097
2015-6 (Jun),Monthly Conversion/Monthly Payer Conversion,0.016716376
2015-7 (Jul),Monthly Conversion/Monthly Payer Conversion,0.017906064
2015-8 (Aug),Monthly Conversion/Monthly Payer Conversion,0.018994183
2015-9 (Sep),Monthly Conversion/Monthly Payer Conversion,0.021958079
2015-10 (Oct),Monthly Conversion/Monthly Payer Conversion,0.021796969
2015-11 (Nov),Monthly Conversion/Monthly Payer Conversion,0.021473677
2015-12 (Dec),Monthly Conversion/Monthly Payer Conversion,0.021154752
2016-1 (Jan),Monthly Conversion/Monthly Payer Conversion,0.022109345
2016-2 (Feb),Monthly Conversion/Monthly Payer Conversion,0.019579894
2016-3 (Mar),Monthly Conversion/Monthly Payer Conversion,0.019810013
2016-4 (Apr),Monthly Conversion/Monthly Payer Conversion,0.019141513
2016-5 (May),Monthly Conversion/Monthly Payer Conversion,0.020754046
2016-6 (Jun),Monthly Conversion/Monthly Payer Conversion,0.018365807
2016-7 (Jul),Monthly Conversion/Monthly Payer Conversion,0.018276080
2016-8 (Aug),Monthly Conversion/Monthly Payer Conversion,0.019295857
2016-9 (Sep),Monthly Conversion/Monthly Payer Conversion,0.019140568
2016-10 (Oct),Monthly Conversion/Monthly Payer Conversion,0.019978787
2016-11 (Nov),Monthly Conversion/Monthly Payer Conversion,0.019830757
2016-12 (Dec),Monthly Conversion/Monthly Payer Conversion,0.021365986
2017-1 (Jan),Monthly Conversion/Monthly Payer Conversion,0.022723060
2017-2 (Feb),Monthly Conversion/Monthly Payer Conversion,0.021708342
2017-3 (Mar),Monthly Conversion/Monthly Payer Conversion,0.022869239
2017-4 (Apr),Monthly Conversion/Monthly Payer Conversion,0.022414270
2017-5 (May),Monthly Conversion/Monthly Payer Conversion,0.023184402
2017-6 (Jun),Monthly Conversion/Monthly Payer Conversion,0.022869915
2017-7 (Jul),Monthly Conversion/Monthly Payer Conversion,0.020500769
2017-8 (Aug),Monthly Conversion/Monthly Payer Conversion,0.019401793
2017-9 (Sep),Monthly Conversion/Monthly Payer Conversion,0.020463706
2017-10 (Oct),Monthly Conversion/Monthly Payer Conversion,0.020861553
2017-11 (Nov),Monthly Conversion/Monthly Payer Conversion,0.021031069
2017-12 (Dec),Monthly Conversion/Monthly Payer Conversion,0.019972246
2018-1 (Jan),Monthly Conversion/Monthly Payer Conversion,0.022209963
2018-2 (Feb),Monthly Conversion/Monthly Payer Conversion,0.023497687
2018-3 (Mar),Monthly Conversion/Monthly Payer Conversion,0.024936590
2018-4 (Apr),Monthly Conversion/Monthly Payer Conversion,0.024410398
2018-5 (May),Monthly Conversion/Monthly Payer Conversion,0.024150828
2018-6 (Jun),Monthly Conversion/Monthly Payer Conversion,0.023212250
2018-7 (Jul),Monthly Conversion/Monthly Payer Conversion,0.022433826
2018-8 (Aug),Monthly Conversion/Monthly Payer Conversion,0.022683107
2018-9 (Sep),Monthly Conversion/Monthly Payer Conversion,0.022496373
2018-10 (Oct),Monthly Conversion/Monthly Payer Conversion,0.021285298
2018-11 (Nov),Monthly Conversion/Monthly Payer Conversion,0.019972757
2018-12 (Dec),Monthly Conversion/Monthly Payer Conversion,0.019282865
2019-1 (Jan),Monthly Conversion/Monthly Payer Conversion,0.019569390
2019-2 (Feb),Monthly Conversion/Monthly Payer Conversion,0.019084010
2019-3 (Mar),Monthly Conversion/Monthly Payer Conversion,0.018699293
2019-4 (Apr),Monthly Conversion/Monthly Payer Conversion,0.018990262
2019-5 (May),Monthly Conversion/Monthly Payer Conversion,0.018100498
2019-6 (Jun),Monthly Conversion/Monthly Payer Conversion,0.017636015
2019-7 (Jul),Monthly Conversion/Monthly Payer Conversion,0.017533775
2019-8 (Aug),Monthly Conversion/Monthly Payer Conversion,0.017481437
2019-9 (Sep),Monthly Conversion/Monthly Payer Conversion,0.017702245
2019-10 (Oct),Monthly Conversion/Monthly Payer Conversion,0.017627601
2019-11 (Nov),Monthly Conversion/Monthly Payer Conversion,0.017531327
2019-12 (Dec),Monthly Conversion/Monthly Payer Conversion,0.017197228
2020-1 (Jan),Monthly Conversion/Monthly Payer Conversion,0.017722096
2020-2 (Feb),Monthly Conversion/Monthly Payer Conversion,0.017275692
2020-3 (Mar),Monthly Conversion/Monthly Payer Conversion,0.017590612
2020-4 (Apr),Monthly Conversion/Monthly Payer Conversion,0.017902771
2020-5 (May),Monthly Conversion/Monthly Payer Conversion,0.018568254
2020-6 (Jun),Monthly Conversion/Monthly Payer Conversion,0.018636004
2020-7 (Jul),Monthly Conversion/Monthly Payer Conversion,0.019069646
2020-8 (Aug),Monthly Conversion/Monthly Payer Conversion,0.018916792
2020-9 (Sep),Monthly Conversion/Monthly Payer Conversion,0.019456008
2020-10 (Oct),Monthly Conversion/Monthly Payer Conversion,0.019335620
2020-11 (Nov),Monthly Conversion/Monthly Payer Conversion,0.018680156
2020-12 (Dec),Monthly Conversion/Monthly Payer Conversion,0.017903128
2021-1 (Jan),Monthly Conversion/Monthly Payer Conversion,0.018721720
2021-2 (Feb),Monthly Conversion/Monthly Payer Conversion,0.019070444
2021-3 (Mar),Monthly Conversion/Monthly Payer Conversion,0.018916355
2021-4 (Apr),Monthly Conversion/Monthly Payer Conversion,0.018986721
2021-5 (May),Monthly Conversion/Monthly Payer Conversion,0.018958571
2021-6 (Jun),Monthly Conversion/Monthly Payer Conversion,0.018604109
2021-7 (Jul),Monthly Conversion/Monthly Payer Conversion,0.017906131
2021-8 (Aug),Monthly Conversion/Monthly Payer Conversion,0.017938119
2021-9 (Sep),Monthly Conversion/Monthly Payer Conversion,0.018049668
2021-10 (Oct),Monthly Conversion/Monthly Payer Conversion,0.017849557
2021-11 (Nov),Monthly Conversion/Monthly Payer Conversion,0.018185752
2015-2 (Feb),Daily Conversion/Payer Conversion,0.013829592
2015-3 (Mar),Daily Conversion/Payer Conversion,0.015001592
2015-4 (Apr),Daily Conversion/Payer Conversion,0.008771478
2015-5 (May),Daily Conversion/Payer Conversion,0.007588623
2015-6 (Jun),Daily Conversion/Payer Conversion,0.008188799
2015-7 (Jul),Daily Conversion/Payer Conversion,0.008619987
2015-8 (Aug),Daily Conversion/Payer Conversion,0.008692526
2015-9 (Sep),Daily Conversion/Payer Conversion,0.008928043
2015-10 (Oct),Daily Conversion/Payer Conversion,0.008652327
2015-11 (Nov),Daily Conversion/Payer Conversion,0.008753030
2015-12 (Dec),Daily Conversion/Payer Conversion,0.009318973
2016-1 (Jan),Daily Conversion/Payer Conversion,0.008564429
2016-2 (Feb),Daily Conversion/Payer Conversion,0.007950367
2016-3 (Mar),Daily Conversion/Payer Conversion,0.008101135
2016-4 (Apr),Daily Conversion/Payer Conversion,0.008314781
2016-5 (May),Daily Conversion/Payer Conversion,0.008432510
2016-6 (Jun),Daily Conversion/Payer Conversion,0.007381591
2016-7 (Jul),Daily Conversion/Payer Conversion,0.007782094
2016-8 (Aug),Daily Conversion/Payer Conversion,0.007745214
2016-9 (Sep),Daily Conversion/Payer Conversion,0.007766040
2016-10 (Oct),Daily Conversion/Payer Conversion,0.007679409
2016-11 (Nov),Daily Conversion/Payer Conversion,0.007684029
2016-12 (Dec),Daily Conversion/Payer Conversion,0.008841312
2017-1 (Jan),Daily Conversion/Payer Conversion,0.008641473
2017-2 (Feb),Daily Conversion/Payer Conversion,0.008925071
2017-3 (Mar),Daily Conversion/Payer Conversion,0.008990740
2017-4 (Apr),Daily Conversion/Payer Conversion,0.008807067
2017-5 (May),Daily Conversion/Payer Conversion,0.009019085
2017-6 (Jun),Daily Conversion/Payer Conversion,0.008273785
